"公众号名称","文章链接","文章配图","公众号初始id","原文链接","文章标题","朋友圈描述","公众号二维码","日期","是否原创","文章作者"
"漳州市鑫汇丰通讯器材有限公司","http://mp.weixin.qq.com/s?__biz=MzAwNzI0ODgzMw==&mid=212912260&idx=4&sn=50a7731485eed4c80f35bc7ca414bca6&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/wtgHia5lazgCvDrkbSGuIMzYkASs2icLHyqh1jGLlHOIriauzLkXUYUaWHkibDT7eiaeOehVWRFXeAb4pTQZXS475OA/0?wx_fmt=jpeg","gh_14e6605a3bf4","''","三星","三星","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAwNzI0ODgzMw==","2015-08-16","N","无作者"
"中国电信山东公司","http://mp.weixin.qq.com/s?__biz=MzA3NDQxNDk5Mg==&mid=208927209&idx=2&sn=68a4278b3d9d60b2414d86b6c03b5efd&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/aRswTMKVfqcTSNic2Nm4SQ979CicY6O3HkH7LxwlzR5BZr7QJQCfrdeCCKiaHSLd3oic9WOqxibjicGp36tkLMrLU25Q/0?wx_fmt=jpeg","gh_5336675ffd1d","''","前日，世界迎来三星GALAXY双生花","前日，世界迎来三星GALAXY双生花","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA3NDQxNDk5Mg==","2015-08-16","N","绑定送100M→"
"广州惠迈电脑","http://mp.weixin.qq.com/s?__biz=MzA3NDQxNDk5Mg==&mid=208927209&idx=2&sn=68a4278b3d9d60b2414d86b6c03b5efd&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/bZ5QqoHmjT3GnclBWGsibQcvVjJEQgFfHHPIQAArEuUCVCLmc49WE2ErrTo9dps04tCL7nZDYwYPYd0CyU38lEw/0?wx_fmt=jpeg","gh_5336675ffd1d","''","前日，世界迎来三星GALAXY双生花","前日，世界迎来三星GALAXY双生花","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA3NDQxNDk5Mg==","2015-08-16","N","绑定送100M→"
"南京小白手机","http://mp.weixin.qq.com/s?__biz=MzAwNzI2ODAxMg==&mid=208199535&idx=4&sn=45ffb2b1f480cf0a56c9ef513651ab64&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/ZibuyLs5P7jy78zoOb19jTicxzOtSHseXQGvA2zaK4kJepr8t9WA9vkbpMibgHCUwkiaoLBZlicIicjrbmAZU6sQ8YFQ/0?wx_fmt=jpeg","gh_8b313b428bc1","''","8月16日苹果+三星手机报价","8月16日苹果+三星手机报价","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAwNzI2ODAxMg==","2015-08-16","N","广州凌英总部"
"淘诺数码","http://mp.weixin.qq.com/s?__biz=MzAwNzI2ODAxMg==&mid=208199535&idx=4&sn=45ffb2b1f480cf0a56c9ef513651ab64&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/tm4kXzE4QIfFySzRLpmeDPUgmTQNTGzyoYssT2gDAx8OIo9GW9Z77WVs5eUlkL111kxca32wB1eqpWoRTptkfQ/0?wx_fmt=jpeg","gh_8b313b428bc1","''","8月16日苹果+三星手机报价","8月16日苹果+三星手机报价","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAwNzI2ODAxMg==","2015-08-16","N","广州凌英总部"
"淘诺数码","http://mp.weixin.qq.com/s?__biz=MjM5NDI1MzQ1NQ==&mid=209675037&idx=4&sn=121680da40c09a080b37e998720b3841&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/tm4kXzE4QIfFySzRLpmeDPUgmTQNTGzyKDtqz1m2fWu3c3cibMAVWmpFib7hYpP7gVaOwrY75zoPVjIE5ZmxqfFQ/0?wx_fmt=jpeg","gh_45b0b050e108","''","【三星 报价】S6，S6 Edge 到货！A系等众多新款型号上线！","【三星 报价】S6，S6 Edge 到货！A系等众多新款型号上线！","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NDI1MzQ1NQ==","2015-08-16","N","无作者"
"赣州长泓通讯","http://mp.weixin.qq.com/s?__biz=MjM5NDI1MzQ1NQ==&mid=209675037&idx=4&sn=121680da40c09a080b37e998720b3841&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/g1ySrhvibrnK2EjPicLAIT7cE9bicvS3NdQBia2e7PiajewuuMiabdBpZeywkNQ3RUj6ribQ2Zx1RtjvFCddklm7VI9CQ/0?wx_fmt=jpeg","gh_45b0b050e108","''","【三星 报价】S6，S6 Edge 到货！A系等众多新款型号上线！","【三星 报价】S6，S6 Edge 到货！A系等众多新款型号上线！","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NDI1MzQ1NQ==","2015-08-16","N","无作者"
"理想国青年汇","http://mp.weixin.qq.com/s?__biz=MjM5NTUyNDgyMQ==&mid=215921542&idx=3&sn=9c34d4d3f9a8ef28b622696ced9ffc85&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/zIVGX98PhRQK5AbwnWTPE1VlZrexTur5LicN1vOB4GeDhHo20g8XFaQtt8m5rzsOMOWL2lIhLBAsiagNLQxIicMbg/0?wx_fmt=jpeg","gh_ec5e4093a609","''","(NOTE3联通3G版特价1580)三星热卖机型","(NOTE3联通3G版特价1580)三星热卖机型","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NTUyNDgyMQ==","2015-08-16","N","无作者"
"金博通讯器材","http://mp.weixin.qq.com/s?__biz=MjM5NTUyNDgyMQ==&mid=215921542&idx=3&sn=9c34d4d3f9a8ef28b622696ced9ffc85&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/0ib6icp1L2tKzLUxKKd2aLqJGLwfDswPQN2nTicJwjI5ic1Rl6qAviaiaE7pzfq0zu16tyM5nZyr93TIiaKibAPwgXqlrw/0?wx_fmt=jpeg","gh_ec5e4093a609","''","(NOTE3联通3G版特价1580)三星热卖机型","(NOTE3联通3G版特价1580)三星热卖机型","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NTUyNDgyMQ==","2015-08-16","N","无作者"
"三星手机购买使用指南","http://mp.weixin.qq.com/s?__biz=MjM5NTUyNDgyMQ==&mid=215921542&idx=5&sn=52fd2c960b91d4a90548fc00a4f8dd44&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/V3PqqOWFHR3DGbC67A4lMNibh8UuuZBPibnjtunWIoMah3Itsyib3k3BdGPHDF2e44q8ErHrgNGDVkE81AJXdRayA/0?wx_fmt=jpeg","gh_ec5e4093a609","''","（三星华为小米魅族电信报价）电信C网爆款","（三星华为小米魅族电信报价）电信C网爆款","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NTUyNDgyMQ==","2015-08-16","N","无作者"
