"公众号名称","文章链接","文章配图","公众号初始id","原文链接","文章标题","朋友圈描述","公众号二维码","日期","是否原创","文章作者"
"馒头商学院","http://mp.weixin.qq.com/s?__biz=MzA3MDk4NzMzNg==&mid=211800227&idx=2&sn=05cdb3e585e8ce75eb8ce150ae724c8d&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/8bMSr06oNiaAYkg0MRBqthv1Tx91L4A5FeO1Kml7ShPDGCNTrKJnicB86AtkwS7Y3sXFLF4HOxXkoiazVpWNV2Viag/0?wx_fmt=jpeg","gh_b4c32b70c7ba","''","产品经理面试：哪些问题是你没有准备的？","产品经理面试：哪些问题是你没有准备的？","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA3MDk4NzMzNg==","2015-08-16","N","无作者"
"产品经理是怎么死的","http://mp.weixin.qq.com/s?__biz=MzA4NjQxMTQyMA==&mid=215379902&idx=1&sn=5002fdd93cae4cf19d4058e49178cb01&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/QAd0M0jkCqW0QicTtq790Z5ucFjIhsMnSBHpdFBWHcMGeFQz2ibDWYGsbFVJvvDrxRqGZIVHahTxpMplvNgpT0Hg/0?wx_fmt=jpeg","gh_677c15a57561","''","从一道产品经理校园招聘面试题说开去","从一道产品经理校园招聘面试题说开去","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA4NjQxMTQyMA==","2015-08-12","N","kaka"
"互联网晚自习","http://mp.weixin.qq.com/s?__biz=MzA4NjQxMTQyMA==&mid=215379902&idx=1&sn=5002fdd93cae4cf19d4058e49178cb01&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/zhibyvibFLbkibhfNBDnqqlmv3DdkjVvmVNDIFzIiclV7IoAicIJWkKGCJ6FoCDzvAXPyZHiaXbQDKRY8QpdVKkVCAEw/0?wx_fmt=jpeg","gh_677c15a57561","''","从一道产品经理校园招聘面试题说开去","从一道产品经理校园招聘面试题说开去","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA4NjQxMTQyMA==","2015-08-12","N","kaka"
"产品经理go","http://mp.weixin.qq.com/s?__biz=MzA4ODk2NzU4Nw==&mid=212220610&idx=2&sn=ea14b06d10a38d4fae67b1d998c55c3b&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/IBmeIcefpKrox1brVgOAtxwBuo08FSq7pru7LQx5sYNRR0vUEIMaghglO1YMe1zUoJvwdWcuQ8fgyITSJwTCOQ/0?wx_fmt=jpeg","gh_1923ee74f9e8","'http://www.woshipm.com/zhichang/187228.html#rd'","【产品】产品经理面试：哪些问题是你没有准备的？","【产品】产品经理面试：哪些问题是你没有准备的？","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA4ODk2NzU4Nw==","2015-08-11","N","天涯"
"秒聘网","http://mp.weixin.qq.com/s?__biz=MzA4ODk2NzU4Nw==&mid=212220610&idx=2&sn=ea14b06d10a38d4fae67b1d998c55c3b&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/Oy0dD7G8FooUUwCl7Ey5mzPBspiaZ9icYCt5Nu3sYf6dNS36HpOSGcGviaGNrzKSiatNXdnCbo9ZyxmFZW7Pdiccf4A/0?wx_fmt=jpeg","gh_1923ee74f9e8","'http://www.woshipm.com/zhichang/187228.html#rd'","【产品】产品经理面试：哪些问题是你没有准备的？","【产品】产品经理面试：哪些问题是你没有准备的？","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA4ODk2NzU4Nw==","2015-08-11","N","天涯"
"产品经理从0开始","http://mp.weixin.qq.com/s?__biz=MzA5NTgxNzA4Mg==&mid=208173565&idx=1&sn=255ecb687735b9d065757880b2affd30&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/oqJOZ0QicXGRIhbicLUHD0j1cS3yk9rrOcYTsEd7FB9gzgpzygjqgnOaDHsX6M6CngqZsBYEYPMbFShDjFuH4xnA/0?wx_fmt=jpeg","gh_5a4338d6edcb","''","阿里、腾讯、百度产品经理40+道面试题记录：我是怎样同时拿到BAT Offer的？","阿里、腾讯、百度产品经理40+道面试题记录：我是怎样同时拿到BAT Offer的？","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA5NTgxNzA4Mg==","2015-07-27","N","无作者"
"互联网实习by拉勾网","http://mp.weixin.qq.com/s?__biz=MzA5NTgxNzA4Mg==&mid=208173565&idx=1&sn=255ecb687735b9d065757880b2affd30&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/rPEfaMBMCmEXV7w3YwWo2WKCMS97mDLpp8F3CdgRMdYlYyDmbRs9CTUWka89edEIbypWoiaLlCNGx5kpompLORw/0?wx_fmt=jpeg","gh_5a4338d6edcb","''","阿里、腾讯、百度产品经理40+道面试题记录：我是怎样同时拿到BAT Offer的？","阿里、腾讯、百度产品经理40+道面试题记录：我是怎样同时拿到BAT Offer的？","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA5NTgxNzA4Mg==","2015-07-27","N","无作者"
"手游圈内人","http://mp.weixin.qq.com/s?__biz=MzAwNzA0MjM4Ng==&mid=207708222&idx=1&sn=68637f5b7d78ce157289cec242179d36&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/zfQiazgdficB5SR0TyUFrHK1GFD2dTMaBdnQeH1lic6q7XeTrbw7s7KHKRTSRsokGBjEGah7R3lCfcpEFyVqNAK6g/0?wx_fmt=jpeg","gh_cbb647427fc6","'http://www.zhaopins.com/#rd'","我是怎样同时拿到BAT Offer的？阿里、腾讯、百度产品经理40+道面试题记录","我是怎样同时拿到BAT Offer的？阿里、腾讯、百度产品经理40+道面试题记录","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAwNzA0MjM4Ng==","2015-07-20","N","无作者"
"泡面小镇","http://mp.weixin.qq.com/s?__biz=MzAwNzA0MjM4Ng==&mid=207708222&idx=1&sn=68637f5b7d78ce157289cec242179d36&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/gU3l7Apx3cYI12TuV2cZemgUsvYVWgTVArGxBxRjYNBmYZ8vnQ5geNtD0icOb9oiaK8fR56cibicpGFWWCmBXuOsmg/0?wx_fmt=jpeg","gh_cbb647427fc6","'http://www.zhaopins.com/#rd'","我是怎样同时拿到BAT Offer的？阿里、腾讯、百度产品经理40+道面试题记录","我是怎样同时拿到BAT Offer的？阿里、腾讯、百度产品经理40+道面试题记录","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAwNzA0MjM4Ng==","2015-07-20","N","无作者"
"三节课","http://mp.weixin.qq.com/s?__biz=MzI1MDAzMzA0MQ==&mid=208276639&idx=1&sn=7c8acaa8e4d0241720d5c15ebfd33d6a&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/DLpaDmBRYxVIt1j6dwjEYmCW6tS94axYF02IUKq2UVPiad3szSnQ1LRWN5yU9qmtwFE1cSHyVBmGTftVeJRG43Q/0?wx_fmt=jpeg","gh_243158b7290d","''","面试产品经理必问的几个问题，你会回答了吗？","面试产品经理必问的几个问题，你会回答了吗？","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzI1MDAzMzA0MQ==","2015-08-15","N","无作者"
