"公众号名称","文章链接","文章配图","公众号初始id","原文链接","文章标题","朋友圈描述","公众号二维码","日期","是否原创","文章作者"
"卿说","http://mp.weixin.qq.com/s?__biz=MzAxNjI2MjgwOA==&mid=208273626&idx=1&sn=e5f0ea0eb9f1510c32e02b402697cede&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/NINhYehXRuGVxldiaI2fXjyZSCjraJWMicLrg3YR21Q5YicbnFfwCIMxup9PkbGkCicBJbZiaENATcbjSbeXRfqyLqQ/0?wx_fmt=jpeg","gh_0cd5777ebae8","''","谈谈数据产品经理的工作职责","谈谈数据产品经理的工作职责","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAxNjI2MjgwOA==","2015-08-14","N","无作者"
"聚信商务社交","http://mp.weixin.qq.com/s?__biz=MzAxNTYzNTgxOA==&mid=208493265&idx=1&sn=b19c8c37a7c386969a5b7ac0a19d07bb&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/SPQFtBTGPJmVuObpTBfywAibLN2qZU7JxBSjrNMuMlheRuRnvGywolQ3OqBBS7kWXZnW8jjcKnSibgXeBb2a4eNQ/0?wx_fmt=jpeg","gh_e9485c84d94e","'http://juxin.jusfoun.com/jx/app.html#rd'","看数据产品经理的前世今生","看数据产品经理的前世今生","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAxNTYzNTgxOA==","2015-08-08","N","无作者"
"手游那点事","http://mp.weixin.qq.com/s?__biz=MzAxNTYzNTgxOA==&mid=208493265&idx=1&sn=b19c8c37a7c386969a5b7ac0a19d07bb&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/FfrewxchYibZ0LhIaYlt3GtoKBvSZ5S5glACm361XK5TpMIoeExMSKjB9LHFIsKYoVLypice9iawlttUkXicAFjawA/0?wx_fmt=jpeg","gh_e9485c84d94e","'http://juxin.jusfoun.com/jx/app.html#rd'","看数据产品经理的前世今生","看数据产品经理的前世今生","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAxNTYzNTgxOA==","2015-08-08","N","无作者"
"猎你","http://mp.weixin.qq.com/s?__biz=MjM5MDEwMTk2MA==&mid=208515401&idx=4&sn=70a20b02eae816994616752a126f9e83&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/MgGZ1jVZiboHEyoYwwjtd8sfKbQwru7DswVzFG2ZQbVKFfcNMlWzibQn5YWDNicF1wTODIg5vEEoneibAeKMo8b7iaw/0?wx_fmt=jpeg","gh_e3bb199b1653","'http://www.sykong.com/2015/08/76646#rd'","北京 | 英雄互娱【聘】PHP/策划/3D美术师/产品经理/数据分析等","北京 | 英雄互娱【聘】PHP/策划/3D美术师/产品经理/数据分析等","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5MDEwMTk2MA==","2015-08-09","N","无作者"
"万能海归平台","http://mp.weixin.qq.com/s?__biz=MjM5MDEwMTk2MA==&mid=208515401&idx=4&sn=70a20b02eae816994616752a126f9e83&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/eJiardWZ1HJtcxRCich0LI2ykoFA7iagT9QLnokfP3uTcPuoMr09nzdKEdjGiaATv0PRpbpJUqoO59Wp5DNyo6BnWA/0?wx_fmt=jpeg","gh_e3bb199b1653","'http://www.sykong.com/2015/08/76646#rd'","北京 | 英雄互娱【聘】PHP/策划/3D美术师/产品经理/数据分析等","北京 | 英雄互娱【聘】PHP/策划/3D美术师/产品经理/数据分析等","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5MDEwMTk2MA==","2015-08-09","N","无作者"
"云攻略","http://mp.weixin.qq.com/s?__biz=MzA3NTQ3Mjc5OQ==&mid=209461061&idx=7&sn=9578aad1906b5f796447dcb1aeb81e94&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/yqTk5h4Xk98iaXbJv0icJRynGFfQHye9KnoBCjfeqOGgibmeKZJ0YG6ExmGAqsqZSnKheySMh3j5IfSEYRibJWa8ug/0?wx_fmt=jpeg","gh_344356d88754","''","百度-大数据部_产品经理（数据仓库方向）","百度-大数据部_产品经理（数据仓库方向）","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA3NTQ3Mjc5OQ==","2015-08-11","N","无作者"
"法大就业","http://mp.weixin.qq.com/s?__biz=MzA3NTQ3Mjc5OQ==&mid=209461061&idx=7&sn=9578aad1906b5f796447dcb1aeb81e94&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/zfnnpYydTyhg5Rskicm19mN8vZD7xeG7BfMpo3TzrEJIHeNAR9bYmPVGNq5FMmXibDahIicz38KKDm1qZoQXzVzcw/0?wx_fmt=jpeg","gh_344356d88754","''","百度-大数据部_产品经理（数据仓库方向）","百度-大数据部_产品经理（数据仓库方向）","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA3NTQ3Mjc5OQ==","2015-08-11","N","无作者"
"JOBWE找位研习社","http://mp.weixin.qq.com/s?__biz=MjM5NzI4NTk4NQ==&mid=210524465&idx=2&sn=7040aa96752af7c5fdd707bb7d373f4e&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/D6DHibFZU3qhkxT0gRF6iauhw01m2BQMH7MrqHg8GFyzUB2ahGhbQx7RQqy6auH1dDSaianvibCS4URMGPJhJCFRxg/0?wx_fmt=jpeg","gh_4125cc8c3107","''","招聘 | 百度部门直招数据产品经理，地点北京西二期","招聘 | 百度部门直招数据产品经理，地点北京西二期","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NzI4NTk4NQ==","2015-08-06","N","无作者"
"数据产品经理","http://mp.weixin.qq.com/s?__biz=MjM5NzI4NTk4NQ==&mid=210524465&idx=2&sn=7040aa96752af7c5fdd707bb7d373f4e&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/hKg8Uv0SmEhHWyCvibb7fTNfVIiaKPWEOTQSecHuz7aVHc0Qy38HUI25CLHmiakJuZibGN0VRlkZ5RibfPewnBxI3HQ/0?wx_fmt=jpeg","gh_4125cc8c3107","''","招聘 | 百度部门直招数据产品经理，地点北京西二期","招聘 | 百度部门直招数据产品经理，地点北京西二期","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NzI4NTk4NQ==","2015-08-06","N","无作者"
"产品100干货速递","http://mp.weixin.qq.com/s?__biz=MjM5MjQ5MDM2Mg==&mid=208465846&idx=4&sn=71c90a1af4a495bae215c5a87d15806d&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/RhS94twDVzgkjKWHayMj23HIHAsYgib8OxfyKnx1kVicuOENjGoQwsDcr5elhdJ5lRicd4wuMkaOR9apia6eicN4n3Q/0?wx_fmt=jpeg","gh_ec8211d92be5","''","纯干货丨用户画像数据建模方法 人人都是产品经理","纯干货丨用户画像数据建模方法 人人都是产品经理","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5MjQ5MDM2Mg==","2015-08-05","N","无作者"
