"公众号名称","文章链接","文章配图","公众号初始id","原文链接","文章标题","朋友圈描述","公众号二维码","日期","是否原创","文章作者"
"武汉实习吧","http://mp.weixin.qq.com/s?__biz=MjM5NzY3ODQyOA==&mid=210387574&idx=2&sn=b4bdab4ab043a0ac69cfd48794d8435a&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/sNTCGXNibCh5SqGjMZJcPic6q4CWuZbBHedOfQr5a6Z7EMpPSCGazu7rs5TdLT1iceSW98MdRyPaJYv2mBLSkGejw/0?wx_fmt=jpeg","gh_4cd464d360b3","http://www.dearsamsung.com.cn/SchoolJob/SchoolJob#rd","校招 | 三星2016校园招聘启动","公司简介2015年，三星电子在《财富》杂志全球500强排名中位居第13位。 而早在1992年三星就开始了中国","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NzY3ODQyOA==","2015-09-02","N","无作者"
"武汉实习吧","http://mp.weixin.qq.com/s?__biz=MjM5NzY3ODQyOA==&mid=210387574&idx=6&sn=e3b6354cc8ef28310fbca3782fbe3ca3&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/sNTCGXNibCh5SqGjMZJcPic6q4CWuZbBHe6YBAJz0U5JSXyOJYlM6A7pclW68CEowK5SvViaiadzJy30t1iaZ6ByaZg/0?wx_fmt=jpeg","gh_4cd464d360b3","http://campus.hundsun.com/home#rd","校招 | 恒生2016校园招聘启动","<U+FEFF><U+FEFF>公司简介1995年，恒生电子股份有限公司(简称恒生电子)成立于杭州， 2003年在上海证券交易所主板上市","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NzY3ODQyOA==","2015-09-02","N","无作者"
"北京实习吧","http://mp.weixin.qq.com/s?__biz=MjM5NzY3ODQyOA==&mid=210387574&idx=6&sn=e3b6354cc8ef28310fbca3782fbe3ca3&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/iboiaeB9reibSKBE7QO0vLQpbAibMYKrwTicibWImRrES2z3LMJicYQ4XcJicvheQFxqYLsfndyMMgSZvSHjztVib5CyvtA/0?wx_fmt=jpeg","gh_4cd464d360b3","http://campus.hundsun.com/home#rd","校招 | 恒生2016校园招聘启动","<U+FEFF><U+FEFF>公司简介1995年，恒生电子股份有限公司(简称恒生电子)成立于杭州， 2003年在上海证券交易所主板上市","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NzY3ODQyOA==","2015-09-02","N","无作者"
"广州实习吧","http://mp.weixin.qq.com/s?__biz=MzAxOTEyMDI1MQ==&mid=207167590&idx=2&sn=e00bf033077aa97e47101c9b066526cb&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/zyOabgIgHk4TF90maSuhKS40Pia625b2W7yI22JAbUQiawHBsdBcgWWx2GBzbKSl31zdneba0Aav7ywogLyOicsTA/0?wx_fmt=jpeg","gh_e6bcb4fb25cd","http://pr.beijing-hyundai.com.cn/Campus_Recruiting.html#rd","校招 | 北京现代 · 2016校园招聘","公司介绍北京现代汽车有限公司（以下简称“北京现代”），于2002年10月18日成立，是中国加入WTO后被批准","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAxOTEyMDI1MQ==","2015-09-02","N","无作者"
"OUC就业直通车","http://mp.weixin.qq.com/s?__biz=MzAxOTEyMDI1MQ==&mid=207167590&idx=2&sn=e00bf033077aa97e47101c9b066526cb&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/lYz19u47mmxpvQAnINVaMlj8EXrGJzic0tpnAILbyEBI5T7Pz7vsfXdpEia7UibabRYD3n7YKOaFZlEdHTnxtkFow/0?wx_fmt=jpeg","gh_e6bcb4fb25cd","http://pr.beijing-hyundai.com.cn/Campus_Recruiting.html#rd","校招 | 北京现代 · 2016校园招聘","公司介绍北京现代汽车有限公司（以下简称“北京现代”），于2002年10月18日成立，是中国加入WTO后被批准","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAxOTEyMDI1MQ==","2015-09-02","N","无作者"
"OUC就业直通车","http://mp.weixin.qq.com/s?__biz=MjM5NzY1MDI1Nw==&mid=211107432&idx=2&sn=08dc45f6394ee8125a813b831f22cd79&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/lYz19u47mmxpvQAnINVaMlj8EXrGJzic08qyG7ibnYTBbTibvKsIobJpVotngSIN5EcC18AHbgib2aVnfkKzFKZhLg/0?wx_fmt=jpeg","gh_a4f5ad4f2315","http://campus.liepin.com/event/matrix/#rd?sukey=fc78a68049a14bb26c717b0ed20bdc01ec0664832d65601db37458d50bd8341c90ac170bfbd4c1dcaafee05d56d877d7","校招 | 经纬系2016校园招聘启动啦","<U+FEFF>公司介绍经纬中国关注投资领域主要包括移动社交、交易平台、O2O、电商、智能硬件、互联网教育、垂直社区、文化","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NzY1MDI1Nw==","2015-09-02","N","无作者"
"西安实习吧","http://mp.weixin.qq.com/s?__biz=MjM5NzY1MDI1Nw==&mid=211107432&idx=2&sn=08dc45f6394ee8125a813b831f22cd79&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/ibcse67uNalQ1DYSKHwPSOIUp3iajatouxlACChcXOLicGKVIic6FlrV3P2W5VpSwG5aY8F8PAg0Wy3cJrvp2jmmQA/0?wx_fmt=jpeg","gh_a4f5ad4f2315","http://campus.liepin.com/event/matrix/#rd?sukey=fc78a68049a14bb26c717b0ed20bdc01ec0664832d65601db37458d50bd8341c90ac170bfbd4c1dcaafee05d56d877d7","校招 | 经纬系2016校园招聘启动啦","<U+FEFF>公司介绍经纬中国关注投资领域主要包括移动社交、交易平台、O2O、电商、智能硬件、互联网教育、垂直社区、文化","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NzY1MDI1Nw==","2015-09-02","N","无作者"
"西安实习吧","http://mp.weixin.qq.com/s?__biz=MzA4ODUzNzUyNA==&mid=208348149&idx=3&sn=a436f56972d223b4a9853e1636884d19&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/ibcse67uNalQ1DYSKHwPSOIUp3iajatouxvTaLL3yIn0B2GyzrqBDzfgyMxMU1d6H3QVCaGIWTsSxVlITnUCXhAA/0?wx_fmt=jpeg","gh_0964e0d919a4","http://chint.zhiye.com/a/xiaozhaozhinan#rd","校招|正泰集团2016校园招聘","正泰集团2016年校园招聘公司简介　　正泰集团创建于1984年，现有总资产达300多亿元，在册员工30000","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA4ODUzNzUyNA==","2015-09-02","N","张枫茗"
"广州实习吧","http://mp.weixin.qq.com/s?__biz=MzA4ODUzNzUyNA==&mid=208348149&idx=3&sn=a436f56972d223b4a9853e1636884d19&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/zyOabgIgHk4TF90maSuhKS40Pia625b2W8bmQbuB1j5FGJlcY4dVuYrJ2zcMF3ToAvcmFI5nayiaJKuC0ibJVgwTA/0?wx_fmt=jpeg","gh_0964e0d919a4","http://chint.zhiye.com/a/xiaozhaozhinan#rd","校招|正泰集团2016校园招聘","正泰集团2016年校园招聘公司简介　　正泰集团创建于1984年，现有总资产达300多亿元，在册员工30000","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA4ODUzNzUyNA==","2015-09-02","N","张枫茗"
"华为武汉长沙校园招聘","http://mp.weixin.qq.com/s?__biz=MzA4ODUzNzUyNA==&mid=208348149&idx=1&sn=2decf1d23e6d886698ddb438e0ebd5ce&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/ZnIxSfdSsgdoW85Cibhsk0qul59pZBWepP7R3t6Tx5ww3zJ3mfTPGdKBNXcsicT6xuNEDuI4x9BMxm1BlXwqVkLg/0?wx_fmt=jpeg","gh_0964e0d919a4","http://campus.51job.com/unionpay/#rd","校招|中国银联2016校园招聘","1公司介绍　　中国银联是中国银行卡联合组织，通过银联跨行交易清算系统，实现商业银行系统间的互联互通和资源共享","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA4ODUzNzUyNA==","2015-09-02","N","张枫茗"
